movies_name,movies_genre,movies_release_date,movies_run_time,movies_poster,movies_poster_url,movies_director,movies_starring_name
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Dylan Gelula as Jane Doe
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,"Toby Huss as Joe, a horse trainer"
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Angela Trimbur as Julie
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,David Paymer as Doctor
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Aaron Stanford as Hades
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Dendrie Taylor as Heather’s mother
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Lauren Weedman as Cheryl
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Luis Fernandez-Gil as Tow Worker
Horse Girl,Drama,7-Feb-20,"1 hour, 44 min.",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Horse_Girl_poster.jpg/220px-Horse_Girl_poster.jpg,https://en.wikipedia.org/wiki/File:Horse_Girl_poster.jpg,Jeff Baena,Sharaé Nikai as Nurse
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,"1 hour, 42 min.",N/A,N/A,Michael Fimognari,
